"Week_ending_friday","Week_number","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2005-10-21,"2005w42",53.83,0.698,77.18,75.1,0,11.7,12.1,93.3,105.3,105.3,13.7,15.6435720972828,67.7,0,16.5,64.1,84.2,148.3,148.3,13.7,12.9852535171777,93.2
2005-10-28,"2005w43",52.96,0.704,75.19,72.2,0,11.3,11.7,90.2,101.9,101.9,15.1,15.5830583528893,62.7,0,15.8,63.5,79,142.5,142.5,11.3,13.0739484300338,90.2
2005-11-04,"2005w44",52.9,0.697,75.95,68.5,0,11.3,11.7,90.2,101.9,101.9,18,15.5225446084958,62.5,0,15.5,63.2,76.7,139.9,139.9,14,13.1626433428899,90.2
2005-11-11,"2005w45",53.16,0.684,77.73,67.3,0,11.3,11.6,89.7,101.3,101.3,21.2,15.4855231738201,62.2,0,15.5,63.2,76.7,139.9,139.9,14.2,13.2426858587396,89.7
2005-11-18,"2005w46",50.67,0.684,74.04,68.1,0,10.8,11.2,86.3,97.5,97.5,19,15.4485017391444,60.1,0,15.3,63,74.8,137.8,137.8,12.6,13.3227283745893,86.3
2005-11-25,"2005w47",50.55,0.691,73.1,65.5,0,10.5,10.9,84,94.9,94.9,15.9,15.4114803044687,58.4,0,15.2,62.9,74,136.9,136.9,13.9,13.402770890439,84
2005-12-02,"2005w48",50.5,0.702,71.98,61.2,0,10.3,10.7,82.1,92.8,92.8,16.6,15.3744588697929,54.7,0,15,62.7,72.6,135.3,135.3,14.2,13.4828134062887,82.1
2005-12-09,"2005w49",53.26,0.71,74.99,64.1,0,9.9,10.2,78.7,88.9,88.9,17.5,15.3374374351172,57,0,14.7,62.3,69.6,131.9,131.9,14.9,13.5628559221384,78.7
2005-12-16,"2005w50",54.82,0.704,77.88,68.4,0,9.9,10.3,79.2,89.5,89.5,15.1,15.3004160004415,60,0,14.7,62.4,70.1,132.5,132.5,13.1,13.6428984379881,79.2
2005-12-23,"2005w51",52.68,0.682,77.23,70.7,0,10.3,10.7,82.2,92.9,92.9,13.8,15.2633945657658,59.1,0,15.1,62.8,73.1,135.9,135.9,13.2,13.7229409538378,82.2
2005-12-30,"2005w52",52.11,0.678,76.85,70.6,0,10.3,10.7,82.2,92.9,92.9,11.5,15.22637313109,60.1,0,15.1,62.8,73.1,135.9,135.9,14,13.8029834696875,82.2
2006-01-06,"2006w01",55.53,0.686,80.96,73.3,0,10.4,10.8,83,93.8,93.8,12.4,15.2043830688048,65.3,0,15.2,62.9,73.9,136.8,136.8,13.8,13.8672481979024,83
2006-01-13,"2006w02",57.36,0.694,82.67,72.1,0,11,11.3,87.4,98.8,98.8,14.2,15.1823930065197,63.6,0,15.7,63.3,77.7,141,141,12.4,13.9315129261173,87.5
2006-01-20,"2006w03",58.55,0.69,84.88,78.7,0,11.1,11.5,88.4,99.9,99.9,16.4,15.1604029442345,65.8,0,15.8,63.4,78.5,141.9,141.9,14.9,13.9957776543322,88.4
2006-01-27,"2006w04",60.22,0.684,88.1,80.1,0,11.5,11.8,91.5,103.3,103.3,12.8,15.1384128819493,66.3,0,16.1,63.8,81.5,145.3,145.3,15.8,14.060042382547,91.5
2006-02-03,"2006w05",60.48,0.685,88.3,75.9,0,11.8,12.1,93.8,105.9,105.9,13.6,15.1164228196641,64.3,0,16.2,63.9,81.9,145.8,145.8,15.6,14.1243071107619,93.8
