"Week_ending_friday","Week_number","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2013-07-26,"2013w29",104.7,0.79866,131.094583427241,103.553168039023,0.534,19.8502700513097,20.2252700513097,131.426133675398,155.757142857143,152.185403726708,27.872965636375,25.7799941662182,98.0318029144428,0.462,28.7394815014853,92.8684815014853,127.005543343235,224.614285714286,220.33602484472,28.9737404287924,23.3563859445673,134.53199378882
2013-08-02,"2013w30",105.02,0.799,131.439299123905,103.246042576018,0.534,19.5148663246017,19.8898663246017,129.190108830678,153.185714285714,149.613975155279,25.9440662546597,25.8481796561984,97.16609306722,0.462,28.2922765325412,92.4212765325412,124.024176883608,221.185714285714,216.907453416149,26.8580838163879,23.3887790598801,132.295968944099
2013-08-09,"2013w31",104.29,0.7894,132.112997213073,105.053253087802,0.534,19.4775992438563,19.8525992438563,128.941661625709,152.9,149.328260869565,23.8884085379072,25.9163651461786,96.4948872742751,0.462,28.2550094517958,92.3840094517958,123.775729678639,220.9,216.621739130435,27.2808424043638,23.421172175193,132.04752173913
2013-08-16,"2013w32",106.07,0.8023,132.207403714321,103.599066898736,0.534,19.4775992438563,19.8525992438563,128.941661625709,152.9,149.328260869565,25.3425947269725,25.9845506361589,95.9016553805169,0.462,27.9196057250878,92.0486057250878,121.539704833918,218.328571428571,214.050310559006,25.6380494534015,23.4535652905059,132.04752173913
2013-08-23,"2013w33",107.62,0.79714,135.007652357177,104.522880635464,0.534,19.4775992438563,19.8525992438563,128.941661625709,152.9,149.328260869565,24.4187809902449,26.0527361261391,96.0514107910758,0.462,27.8637051039698,91.9927051039698,121.167034026465,217.9,213.621739130435,25.1156232353892,23.4859584058188,132.04752173913
2013-08-30,"2013w34",111.61,0.7802,143.053063317098,108.402725186868,0.534,19.7571023494464,20.1321023494464,130.805015662976,155.042857142857,151.471118012422,22.402290476108,26.1209216161193,101.361281161948,0.462,28.1432082095598,92.2722082095598,123.030388063732,220.042857142857,215.764596273292,21.6691069017841,23.5183515211317,133.910875776398
2013-09-06,"2013w35",110.32,0.78342,140.818462638176,108.334860486117,0.534,19.8689035916824,20.2439035916824,131.550357277883,155.9,152.328260869565,23.2154967917655,26.1964266476846,102.426276954841,0.462,28.2550094517958,92.3840094517958,123.775729678639,220.9,216.621739130435,21.3494527237976,23.5341167663585,134.656217391304
2013-09-13,"2013w36",109.02,0.80638,135.196805476326,104.201182089012,0.534,19.9620712935458,20.3370712935458,132.171475290305,156.614285714286,153.042546583851,27.9702932012933,26.2719316792498,95.9869903358221,0.462,28.3481771536592,92.4771771536592,124.396847691061,221.614285714286,217.33602484472,28.4098573552392,23.5498820115852,135.277335403727
2013-09-20,"2013w37",107.54,0.82726,129.995406522738,100.438242886294,0.534,19.5148663246017,19.8898663246017,129.190108830678,153.185714285714,149.613975155279,28.7518659443834,26.347436710815,92.7821376837319,0.462,27.9009721847151,92.0299721847151,121.415481231434,218.185714285714,213.907453416149,28.6333435477021,23.565647256812,132.295968944099
2013-09-27,"2013w38",106.14,0.83018,127.851791177817,101.953224497436,0.534,19.3471644612476,19.7221644612476,128.072096408318,151.9,148.328260869565,26.1188719108814,26.4229417423803,92.3654802087233,0.462,27.7332703213611,91.8622703213611,120.297468809074,216.9,212.621739130435,27.9319886003504,23.5814125020388,131.177956521739
2013-10-04,"2013w39",105.35,0.82898,127.083886221622,99.7281883281949,0.534,19.1907237375101,19.5657237375101,127.029158250068,150.471428571429,147.128881987578,27.3009699218726,26.4984467739455,92.3358792878872,0.462,27.4910342965163,91.6200342965163,118.682561976776,215.471428571429,210.764596273292,26.3466826888884,23.5971777472655,129.935720496894
2013-10-11,"2013w40",107.15,0.82976,129.133725414578,100.724448685473,0.534,19.1211720226843,19.4961720226843,126.565480151229,149.9,146.595652173913,25.8410314657554,26.5739518055108,93.2612423232198,0.462,27.0158790170132,91.1448790170132,115.514860113422,211.9,207.121739130435,22.2536177902018,23.6129429924923,129.438826086957
2013-10-18,"2013w41",107.27,0.83926,127.814979863213,99.5015072126565,0.534,19.1211720226843,19.4961720226843,126.565480151229,149.9,146.595652173913,27.0639729385722,26.649456837076,92.609530908958,0.462,27.0158790170132,91.1448790170132,115.514860113422,211.9,207.121739130435,22.9053292044635,23.6287082377191,129.438826086957
2013-10-25,"2013w42",106.26,0.8445,125.825932504441,97.7215797195498,0.534,19.1211720226843,19.4961720226843,126.565480151229,149.9,146.595652173913,28.8439004316789,26.7249618686412,90.8499584213871,0.462,27.0158790170132,91.1448790170132,115.514860113422,211.9,207.121739130435,24.6649016920345,23.6444734829459,129.438826086957
2013-11-01,"2013w43",106.29,0.82735,128.470417598356,100.25661431805,0.534,19.1211720226843,19.4961720226843,126.565480151229,149.9,146.595652173913,26.3088658331785,26.8252561049757,92.7545904293668,0.462,27.0158790170132,91.1448790170132,115.514860113422,211.9,207.121739130435,22.7602696840547,23.6576959116992,129.438826086957
2013-11-08,"2013w44",103.84,0.83228,124.765703849666,98.1343332169935,0.534,19.1211720226843,19.4961720226843,126.565480151229,149.9,146.595652173913,28.4311469342353,26.9255503413101,90.5100041557208,0.462,27.0158790170132,91.1448790170132,115.514860113422,211.9,207.121739130435,25.0048559577008,23.6709183404526,129.438826086957
2013-11-15,"2013w45",105.31,0.82592,127.506296009299,98.6369036892749,0.534,19.1211720226843,19.4961720226843,126.565480151229,149.9,146.595652173913,27.9285764619538,27.0258445776446,93.1156146445022,0.462,27.0158790170132,91.1448790170132,115.514860113422,211.9,207.121739130435,22.3992454689193,23.684140769206,129.438826086957
2013-11-22,"2013w46",106.85,0.8306,128.641945581507,99.3063298594682,0.534,19.1211720226843,19.4961720226843,126.565480151229,149.9,146.595652173913,27.2591502917605,27.126138813979,93.3225032557103,0.462,27.0158790170132,91.1448790170132,115.514860113422,211.9,207.121739130435,22.1923568577112,23.6973631979594,129.438826086957
